1313,Finishing of textiles,131,"Production managers in agriculture, forestry and fisheries",13,Manufacture of textiles,C,Manufacturing
1313,Finishing of textiles,131,"Production managers in agriculture, forestry and fisheries",13,Production and specialised services managers,1,Managers
1313,Finishing of textiles,131,"Production managers in agriculture, forestry and fisheries",13,Production and specialised services managers,1,Tools
8421,Foreign affairs,842,Provision of services to the community as a whole,84,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security
4923,Freight transport by road,492,Other land transport,49,Land transport and transport via pipelines,"H ",Transportation and storage
6630,Fund management activities,663,Fund management activities,66,Activities auxiliary to financial service and insurance activities,k,Financial and insurance activities
9603,Funeral and related activities,960,Other personal service activities,96,Other personal service activities,S,Other service activities
9603,Funeral and related activities,960,Other personal service activities,96,Refuse workers and other elementary workers,9,Elementary occupations
9200,Gambling and betting activities,920,Gambling and betting activities,92,"Agricultural, forestry and fishery labourers",9,Elementary occupations
9200,Gambling and betting activities,920,Gambling and betting activities,92,Gambling and betting activities,R,"Arts, entertainment and recreation"
0220,Logging,022,Logging,02,Forestry and logging,A,"Agriculture, forestry and fishing"
0220,Logging,022,Logging,02,Non-commissioned armed forces officers,0,Armed forces occupations
0230,Gathering of non-wood forest products,023,Gathering of non-wood forest products,02,Forestry and logging,A,"Agriculture, forestry and fishing"
0230,Gathering of non-wood forest products,023,Gathering of non-wood forest products,02,Non-commissioned armed forces officers,0,Armed forces occupations
0240,Support services to forestry,024,Support services to forestry,02,Forestry and logging,A,"Agriculture, forestry and fishing"
0240,Support services to forestry,024,Support services to forestry,02,Non-commissioned armed forces officers,0,Armed forces occupations
0322,Freshwater aquaculture,032,Aquaculture,03,Fishing and aquaculture,A,"Agriculture, forestry and fishing"
8610,Hospital activities,861,Hospital activities,86,Human health activities,Q,Human health and social work activities
0321,Marine aquaculture,032,Aquaculture,03,Fishing and aquaculture,A,"Agriculture, forestry and fishing"
5021,Inland passenger water transport,502,Inland water transport,50,Sea and coastal water transport,"H ",Transportation and storage
7740,"Leasing of intellectual property and similar products, except copyrighted works",774,"Leasing of intellectual property and similar products, except copyrighted works",77,Rental and leasing activities,N,Administrative and support service activities
6511,Life insurance,651,Insurance,65,"Insurance, reinsurance and pension funding, except compulsory social security",k,Financial and insurance activities
4520,Maintenance and repair of motor vehicles,452,Maintenance and repair of motor vehicles,45,Wholesale and retail trade; repair of motor vehicles and motorcycles,G,Wholesale and retail trade; repair of motor vehicles and motorcycles
7020,Management consultancy activities,702,Management consultancy activities,70,Activities of head offices; management consultancy activities,M,"Professional, scientific and technical activities"
3030,Manufacture of air and space craft  and related machinery,303,Manufacture of air and space craft  and related machinery,30,Manufacture of other transport equipment,C,Manufacturing
2395,"Manufacture of articles of concrete, cement and plaster",239,OTHER vehicles,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2395,"Manufacture of articles of concrete, cement and plaster",239,OTHER vehicles,23,Teaching professionals,2,Machines
2395,"Manufacture of articles of concrete, cement and plaster",239,OTHER vehicles,23,Teaching professionals,2,Professionals
2395,"Manufacture of articles of concrete, cement and plaster",239,OTHER vehicles,23,Vehicles used for …,2,Machines
2395,"Manufacture of articles of concrete, cement and plaster",239,OTHER vehicles,23,Vehicles used for …,2,Professionals
2395,"Manufacture of articles of concrete, cement and plaster",239,Manufacture of non-metallic mineral products n.e.c.,23,Manufacture of other non-metallic mineral products,C,Manufacturing
2395,"Manufacture of articles of concrete, cement and plaster",239,Manufacture of non-metallic mineral products n.e.c.,23,Teaching professionals,2,Machines
2395,"Manufacture of articles of concrete, cement and plaster",239,Manufacture of non-metallic mineral products n.e.c.,23,Teaching professionals,2,Professionals
2395,"Manufacture of articles of concrete, cement and plaster",239,Manufacture of non-metallic mineral products n.e.c.,23,Vehicles used for …,2,Machines
2395,"Manufacture of articles of concrete, cement and plaster",239,Manufacture of non-metallic mineral products n.e.c.,23,Vehicles used for …,2,Professionals
1071,Manufacture of bakery products,107,Manufacture of other food products,10,Manufacture of food products,C,Manufacturing
2011,Manufacture of basic chemicals,201,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic",20,Manufacture of chemicals and chemical products,C,Manufacturing
2410,Manufacture of basic iron and steel,241,Manufacture of basic iron and steel,24,Manufacture of basic metals,C,Manufacturing
2410,Manufacture of basic iron and steel,241,Manufacture of basic iron and steel,24,Business and administration professionals,2,Machines
2410,Manufacture of basic iron and steel,241,Manufacture of basic iron and steel,24,Business and administration professionals,2,Professionals
2410,Manufacture of basic iron and steel,241,Finance professionals,24,Manufacture of basic metals,C,Manufacturing
2410,Manufacture of basic iron and steel,241,Finance professionals,24,Business and administration professionals,2,Machines
2410,Manufacture of basic iron and steel,241,Finance professionals,24,Business and administration professionals,2,Professionals
1622,Manufacture of builders’ carpentry and joinery,162,"Manufacture of products of wood, cork, straw and plaiting materials",16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C,Manufacturing
1393,Manufacture of carpets and rugs,139,Manufacture of other textiles,13,Manufacture of textiles,C,Manufacturing
1393,Manufacture of carpets and rugs,139,Manufacture of other textiles,13,Production and specialised services managers,1,Managers
1393,Manufacture of carpets and rugs,139,Manufacture of other textiles,13,Production and specialised services managers,1,Tools
1073,"Manufacture of cocoa, chocolate and sugar confectionery",107,Manufacture of other food products,10,Manufacture of food products,C,Manufacturing
1910,Manufacture of coke oven products,191,Manufacture of coke oven products,19,Manufacture of coke and refined petroleum products,C,Manufacturing
2630,Manufacture of communication equipment,263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Machines
2630,Manufacture of communication equipment,263,Social and religious professionals,26,"Legal, social and cultural professionals",2,Professionals
